Model,Train Accuracy,Test Accuracy,Overfit Gap
Gradient Boosting,0.5706935901899346,0.5457218010211976,0.02497178916873699
Random Forest,0.5969594986654289,0.5406158130898964,0.05634368557553249
Logistic Regression,0.5477931221229353,0.5381401825777503,0.00965293954518498
KNN,0.5559939654171986,0.4743926968899892,0.08160126852720939
